participant,abs_seq,start,end,duration,delay,block,block_seq,exec_time
134146,79,2019-11-15 19:28:40.128000+00:00,2019-11-15 19:28:50.970000+00:00,0 days 00:00:10.842000,0 days 00:00:02.700000,11,6,0 days 00:00:05.927000
134146,80,2019-11-15 19:28:50.970000+00:00,2019-11-15 19:28:59.108000+00:00,0 days 00:00:08.138000,0 days 00:00:02.700000,11,7,0 days 00:00:03.235000
134146,81,2019-11-15 19:28:59.108000+00:00,2019-11-15 19:29:07.245000+00:00,0 days 00:00:08.137000,0 days 00:00:02.700000,11,8,0 days 00:00:03.156000
134146,82,2019-11-15 19:29:07.245000+00:00,2019-11-15 19:29:15.380000+00:00,0 days 00:00:08.135000,0 days 00:00:02.700000,11,9,0 days 00:00:03.038000
134146,83,2019-11-15 19:29:15.380000+00:00,2019-11-15 19:29:23.518000+00:00,0 days 00:00:08.138000,0 days 00:00:02.700000,11,10,0 days 00:00:03.722000
134146,84,2019-11-15 19:29:23.518000+00:00,2019-11-15 19:29:31.653000+00:00,0 days 00:00:08.135000,0 days 00:00:02.700000,11,11,0 days 00:00:03.845000
134146,85,2019-11-15 19:29:31.653000+00:00,2019-11-15 19:29:42.492000+00:00,0 days 00:00:10.839000,0 days 00:00:03,12,0,0 days 00:00:06.308000
134146,86,2019-11-15 19:29:42.492000+00:00,2019-11-15 19:29:51.534000+00:00,0 days 00:00:09.042000,0 days 00:00:03,12,1,0 days 00:00:03.644000
134146,87,2019-11-15 19:29:51.534000+00:00,2019-11-15 19:30:01.582000+00:00,0 days 00:00:10.048000,0 days 00:00:03,12,2,0 days 00:00:04.189000
134146,88,2019-11-15 19:30:01.582000+00:00,2019-11-15 19:30:10.618000+00:00,0 days 00:00:09.036000,0 days 00:00:03,12,3,0 days 00:00:04.670000
134146,89,2019-11-15 19:30:10.618000+00:00,2019-11-15 19:30:19.659000+00:00,0 days 00:00:09.041000,0 days 00:00:03,12,4,0 days 00:00:04.358000
134146,90,2019-11-15 19:30:19.659000+00:00,2019-11-15 19:30:28.699000+00:00,0 days 00:00:09.040000,0 days 00:00:03,12,5,0 days 00:00:03.727000
134146,91,2019-11-15 19:30:28.699000+00:00,2019-11-15 19:30:34.740000+00:00,0 days 00:00:06.041000,0 days 00:00:03,12,6,0 days 00:00:00.182000
134146,92,2019-11-15 19:30:34.740000+00:00,2019-11-15 19:30:43.746000+00:00,0 days 00:00:09.006000,0 days 00:00:03,12,7,0 days 00:00:03.040000
134146,93,2019-11-15 19:30:43.746000+00:00,2019-11-15 19:30:52.784000+00:00,0 days 00:00:09.038000,0 days 00:00:00.600000,13,0,0 days 00:00:04.573000
134146,94,2019-11-15 19:30:52.784000+00:00,2019-11-15 19:30:56.417000+00:00,0 days 00:00:03.633000,0 days 00:00:00.600000,13,1,0 days 00:00:02.217000
134146,95,2019-11-15 19:30:56.417000+00:00,2019-11-15 19:31:01.825000+00:00,0 days 00:00:05.408000,0 days 00:00:00.600000,13,2,0 days 00:00:03.848000
134146,96,2019-11-15 19:31:01.825000+00:00,2019-11-15 19:31:06.632000+00:00,0 days 00:00:04.807000,0 days 00:00:00.600000,13,3,0 days 00:00:03.381000
134146,97,2019-11-15 19:31:06.632000+00:00,2019-11-15 19:31:13.242000+00:00,0 days 00:00:06.610000,0 days 00:00:00.600000,13,4,0 days 00:00:05.197000
134146,98,2019-11-15 19:31:13.242000+00:00,2019-11-15 19:31:17.450000+00:00,0 days 00:00:04.208000,0 days 00:00:00.600000,13,5,0 days 00:00:02.779000
134146,99,2019-11-15 19:31:17.450000+00:00,2019-11-15 19:31:21.656000+00:00,0 days 00:00:04.206000,0 days 00:00:00.600000,13,6,0 days 00:00:02.644000
134146,100,2019-11-15 19:31:21.656000+00:00,2019-11-15 19:31:25.864000+00:00,0 days 00:00:04.208000,0 days 00:00:00.600000,13,7,0 days 00:00:02.885000
134146,101,2019-11-15 19:31:25.864000+00:00,2019-11-15 19:31:33.075000+00:00,0 days 00:00:07.211000,0 days 00:00:02.175000,14,0,0 days 00:00:05.954000
134146,102,2019-11-15 19:31:33.075000+00:00,2019-11-15 19:31:41.784000+00:00,0 days 00:00:08.709000,0 days 00:00:02.175000,14,1,0 days 00:00:04.673000
134146,103,2019-11-15 19:31:41.784000+00:00,2019-11-15 19:31:50.524000+00:00,0 days 00:00:08.740000,0 days 00:00:02.175000,14,2,0 days 00:00:05.139000
134146,104,2019-11-15 19:31:50.524000+00:00,2019-11-15 19:32:01.440000+00:00,0 days 00:00:10.916000,0 days 00:00:02.175000,14,3,0 days 00:00:06.640000
134146,105,2019-11-15 19:32:01.440000+00:00,2019-11-15 19:32:14.528000+00:00,0 days 00:00:13.088000,0 days 00:00:02.175000,14,4,0 days 00:00:09.726000
134146,106,2019-11-15 19:32:14.528000+00:00,2019-11-15 19:32:21.088000+00:00,0 days 00:00:06.560000,0 days 00:00:02.175000,14,5,0 days 00:00:03.295000
134146,107,2019-11-15 19:32:21.088000+00:00,2019-11-15 19:32:27.622000+00:00,0 days 00:00:06.534000,0 days 00:00:02.175000,14,6,0 days 00:00:02.645000
134146,108,2019-11-15 19:32:27.622000+00:00,2019-11-15 19:32:34.156000+00:00,0 days 00:00:06.534000,0 days 00:00:02.175000,14,7,0 days 00:00:02.329000
134146,109,2019-11-15 19:32:34.156000+00:00,2019-11-15 19:32:45.040000+00:00,0 days 00:00:10.884000,0 days 00:00:01.125000,15,0,0 days 00:00:06.611000
134146,110,2019-11-15 19:32:45.040000+00:00,2019-11-15 19:32:51.831000+00:00,0 days 00:00:06.791000,0 days 00:00:01.125000,15,1,0 days 00:00:04.542000
134146,111,2019-11-15 19:32:51.831000+00:00,2019-11-15 19:32:58.590000+00:00,0 days 00:00:06.759000,0 days 00:00:01.125000,15,2,0 days 00:00:04.563000
134146,112,2019-11-15 19:32:58.590000+00:00,2019-11-15 19:33:06.474000+00:00,0 days 00:00:07.884000,0 days 00:00:01.125000,15,3,0 days 00:00:05.693000
134146,113,2019-11-15 19:33:06.474000+00:00,2019-11-15 19:33:13.261000+00:00,0 days 00:00:06.787000,0 days 00:00:01.125000,15,4,0 days 00:00:04.660000
134146,114,2019-11-15 19:33:13.261000+00:00,2019-11-15 19:33:20.021000+00:00,0 days 00:00:06.760000,0 days 00:00:01.125000,15,5,0 days 00:00:04.615000
134146,115,2019-11-15 19:33:20.021000+00:00,2019-11-15 19:33:27.910000+00:00,0 days 00:00:07.889000,0 days 00:00:01.125000,15,6,0 days 00:00:05.743000
134146,116,2019-11-15 19:33:27.910000+00:00,2019-11-15 19:33:33.575000+00:00,0 days 00:00:05.665000,0 days 00:00:01.125000,15,7,0 days 00:00:03.447000
134146,117,2019-11-15 19:33:33.575000+00:00,2019-11-15 19:33:39.208000+00:00,0 days 00:00:05.633000,0 days 00:00:01.125000,15,8,0 days 00:00:03.446000
134146,118,2019-11-15 19:33:39.208000+00:00,2019-11-15 19:33:45.966000+00:00,0 days 00:00:06.758000,0 days 00:00:01.125000,15,9,0 days 00:00:04.514000
134146,119,2019-11-15 19:33:45.966000+00:00,2019-11-15 19:33:52.724000+00:00,0 days 00:00:06.758000,0 days 00:00:01.125000,15,10,0 days 00:00:04.621000
134146,120,2019-11-15 19:33:52.724000+00:00,2019-11-15 19:33:57.231000+00:00,0 days 00:00:04.507000,0 days 00:00:01.125000,15,11,0 days 00:00:02.305000
134146,121,2019-11-15 19:33:57.231000+00:00,2019-11-15 19:34:03.992000+00:00,0 days 00:00:06.761000,0 days 00:00:01.650000,16,0,0 days 00:00:04.593000
134146,122,2019-11-15 19:34:03.992000+00:00,2019-11-15 19:34:10.600000+00:00,0 days 00:00:06.608000,0 days 00:00:01.650000,16,1,0 days 00:00:03.792000
134146,123,2019-11-15 19:34:10.600000+00:00,2019-11-15 19:34:15.559000+00:00,0 days 00:00:04.959000,0 days 00:00:01.650000,16,2,0 days 00:00:02.058000
134146,124,2019-11-15 19:34:15.559000+00:00,2019-11-15 19:34:20.517000+00:00,0 days 00:00:04.958000,0 days 00:00:01.650000,16,3,0 days 00:00:01.681000
134146,125,2019-11-15 19:34:20.517000+00:00,2019-11-15 19:34:28.774000+00:00,0 days 00:00:08.257000,0 days 00:00:01.650000,16,4,0 days 00:00:05.505000
134146,126,2019-11-15 19:34:28.774000+00:00,2019-11-15 19:34:37.062000+00:00,0 days 00:00:08.288000,0 days 00:00:01.650000,16,5,0 days 00:00:05.502000
134146,127,2019-11-15 19:34:37.062000+00:00,2019-11-15 19:34:45.350000+00:00,0 days 00:00:08.288000,0 days 00:00:01.650000,16,6,0 days 00:00:05.196000
134146,128,2019-11-15 19:34:45.350000+00:00,2019-11-15 19:34:53.639000+00:00,0 days 00:00:08.289000,0 days 00:00:01.650000,16,7,0 days 00:00:05.027000
134146,129,2019-11-15 19:34:53.639000+00:00,2019-11-15 19:35:01.926000+00:00,0 days 00:00:08.287000,0 days 00:00:01.650000,16,8,0 days 00:00:05.379000
134146,130,2019-11-15 19:35:01.926000+00:00,2019-11-15 19:35:08.564000+00:00,0 days 00:00:06.638000,0 days 00:00:01.650000,16,9,0 days 00:00:03.397000
134146,131,2019-11-15 19:35:08.564000+00:00,2019-11-15 19:35:15.172000+00:00,0 days 00:00:06.608000,0 days 00:00:01.650000,16,10,0 days 00:00:03.933000
134146,132,2019-11-15 19:35:15.172000+00:00,2019-11-15 19:35:21.783000+00:00,0 days 00:00:06.611000,0 days 00:00:01.650000,16,11,0 days 00:00:03.619000
134146,133,2019-11-15 19:35:21.783000+00:00,2019-11-15 19:35:28.391000+00:00,0 days 00:00:06.608000,0 days 00:00:02.175000,17,0,0 days 00:00:03.904000
